parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-1183093,Ac2IrRh,3,mp-1183093,Ac2IrRh,-0.534733513749998,NM,0.0008191,-0.5453002219387832,0.05075977885677924
mp-1183085,Ac2Mg,-3,mp-1183085,Ac2Mg,-0.006879308333334,NM,0.0007314,-0.02839493379776658,0.06832131585355579
mp-1183085,Ac2Mg,0,mp-1183085,Ac2Mg,-0.006879308333334,NM,0.0007314,-0.19570442518236805,0.05876530832839505
mp-1183085,Ac2Mg,3,mp-1183085,Ac2Mg,-0.006879308333334,NM,0.0007314,-0.16058666960677254,0.008943679506546872
mp-1183089,Ac2Mg,-3,mp-1183089,Ac2Mg,-0.01975081833334,NM,1.2444506,0.032738624291573044,0.888077202990157
mp-1183089,Ac2Mg,0,mp-1183089,Ac2Mg,-0.01975081833334,NM,1.2444506,0.04598567959632543,0.888077202990157
mp-1183089,Ac2Mg,3,mp-1183089,Ac2Mg,-0.01975081833334,NM,1.2444506,-0.16823801769838498,0.386156417744817
mp-985286,Ac2Mg,-3,mp-985286,Ac2Mg,-0.006998733333333,NM,0.5517288,0.10397666067491437,0.6533098623017402
mp-985286,Ac2Mg,0,mp-985286,Ac2Mg,-0.006998733333333,NM,0.5517288,-0.028136654954442685,0.5607419628875758
mp-985286,Ac2Mg,3,mp-985286,Ac2Mg,-0.006998733333333,NM,0.5517288,-0.1531094261605524,0.5298326172533857
mp-1183074,Ac2MgGa,-3,mp-1183074,Ac2MgGa,-0.228840256874998,NM,0.000180999999999,-0.33483197991910535,-0.04533937688767936
mp-1183074,Ac2MgGa,0,mp-1183074,Ac2MgGa,-0.228840256874998,NM,0.000180999999999,-0.2842755580337816,-0.0582230826902121
mp-1183074,Ac2MgGa,3,mp-1183074,Ac2MgGa,-0.228840256874998,NM,0.000180999999999,-0.40461398010497057,-0.027971288745247826
mp-1183078,Ac2MgPb,-3,mp-1183078,Ac2MgPb,-0.26746134,NM,1.22e-05,-0.2873502024352906,0.018177585899279758
mp-1183078,Ac2MgPb,0,mp-1183078,Ac2MgPb,-0.26746134,NM,1.22e-05,-0.2359314341624723,0.08867986259103221
mp-1183078,Ac2MgPb,3,mp-1183078,Ac2MgPb,-0.26746134,NM,1.22e-05,-0.23470404234293135,0.02571751759386682
